Name,Description,Address,Phone,City
Almacen El Gato,"Importadores de artículos de bazar, juguetería, escolares y suministros de oficina.",6 de Marzo 936 y 10 de Agosto,(593 4) 253 3772 - 253 3597,"Guayaquil, Ecuador"
Almacen Yun Sung,IMPORTADORAS,CHIMBORAZO 1121,(593 4) 2402684,"Guayaquil, Ecuador"
Almacenes Estuardito,"Importadores, Fabricantes y distribuidores: Artículos de Bazar, ferretería, cristalería, juguetes, electrodomésticos, modulares.",Alborada Etapa II Mz AN S 27 Agustin Freire y Rodolfo Baquerizo Nazur (esq.),(593 4) 2279968 - 2279969 - 2640790,"Guayaquil, Ecuador"
Almacenes Rolando S.a. Rolandosa,"Importadora y distribuidora de materiales de tapicería y calzado. Telas de hogar, automotriz, materiales de piso, maquetas, alfombras, linolio. Artículos para fabricación de mochilas",,(593 4) 2412139,"Guayaquil, Ecuador"
Base Sur,Importadora de Frutas.,Km 3.5 via Duran Boliche,(593 4) 2815120,"Guayaquil, Ecuador"
Coimsa S.a.,"Importadores, distribuidores a nivel nacional de electrodomésticos y acondicionadores de aire.",Machala #505 y Padre Solano,(593 4) 2281194 / 2280492,"Guayaquil, Ecuador"
Comercial E. Izquierdo U Cia Ltda.,DISTRIBUIDORES,CHIMBORAZO 418,(593 4) 2326770,"Guayaquil, Ecuador"
Comercial Importadora Perez,DISTRIBUIDORES EN GENERAL,RUMICHACA 1211,(593 4) 2514417,"Guayaquil, Ecuador"
Corporacion Quezada,IMPORTADORA,AV Machala y 9 de Octubre esquina,(593 4) 2523112 ext-268,"Guayaquil, Ecuador"
Ecualmat S.a.,"Importadores de las mejores marcas de Colombia, India, Rejiplas Estra, Enlozada Record.",,,"Guayaquil, Ecuador"
Elecsum S.a.,"Importador y distribuidor de herramientas para alta y baja tensión, Klein Tools, Greenlee, Salisbury, Hastings y Escaleras Louisville.",,(593 4) 2396121 - 2286790,"Guayaquil, Ecuador"
Electronic Game S.a.,"Máquinas de video juego, multijuegos, accesorios, repuestos. Servicio técnico.",,(593 4) 2451250 - 2192394,"Guayaquil, Ecuador"
Exportadora E Importadora A Y J S.a,SOMOS LOS MEJORES.,VIA DURAN TAMBO KM 5,(593 4) 2806679,"Guayaquil, Ecuador"
Femar S.a.,Importadora de eletrodomésticos.,,(593) 04-2523112 Ext.: 138,"Guayaquil, Ecuador"
Feraud,"Importamos todo tipo de Equipos, Maquinarias y Productos.",,(593 4) 223 0288,"Guayaquil, Ecuador"
Icnesa - Importadora Comercial Neira Espinoza S.a.,Ventas de Poliester y poliuretanos.,Padre Solano 847 y Pedro Moncayo,(593 4) 2305766,"Guayaquil, Ecuador"
Importadora Automotriz E. Guzman,Importadora automotriz,Cdla. La Garzota Av. Guillermo Pareja Rolando y Hermano Miguel,(593 4) 2244872,"Guayaquil, Ecuador"
Importadora Comercial Maxima S.a.,"Tubos de acero inoxidable, extractores de aire, ventiladores, bombas de agua, pinturas, cocinas industriales",Av. J. T. Marengo Km 0.5 Edificio Taiwan P.b,(593 4) 2283404 - 2287300 - 2291278,"Guayaquil, Ecuador"
Importadora - Exportadora Carmiranda S.a.,Importación de globos payaso y pelotas Smits,Ayacucho 1304 y Av. Quito,(593 4) 241 0990,"Guayaquil, Ecuador"
Importadora Industrial Agricola S.a.iiasa,Alquiler de equipos para Construcción e Industrias.,Av. Juan Tanca Marengo Km 5 frente a Registro Civil del Norte.,(593 4) 601 3265,"Guayaquil, Ecuador"
Importadora J&l Ruiz Y Transporte De Carga A.s.f. Transport,Asientos y repuestos para autos y el mejor servicio de transporte de carga pesada a nivel Nacional.,,(593 4) 2191516 - 2826997,"Guayaquil, Ecuador"
Importadora Jurado,"Papel, Suministro para Centro de Copiado: Copiadoras, Toner, Carátulas, Polaroid (micas) Espirales, Perfiles, Espiraladoras",Luque 1302 y Machala,(593 4) 2532202 - 2325508,"Guayaquil, Ecuador"
Importadora R.s.o.,Zapatos y Carteras,,(593 4) 2513611,"Guayaquil, Ecuador"
Impresum,"Facturas, Notas de Ventas en Rollo, Formas Continua, Blocks, Etiquetas en Rollo, Imprenta en General.",,(593 4) 2272126,"Guayaquil, Ecuador"
Motorepuestos J.a.b.c,"Repuestos y mantenimiento para motocicletas, distribuidores exclusivos llantas Rinaldi, Kings para cuadrones, cadenas Iris, Riffel.",099502842 - 084453926,,"Guayaquil, Ecuador"
Naturpharma,Líderes en importación y ventas de medicina biológica para mejorar la calidad de vida. Productos seguros y efectivos.,"Kennedy Norte, mz-202, v-24",(593 4) 2397084 - 2397085 - 6003038,"Guayaquil, Ecuador"
Pescaequipos S.a.,Importadores de Implementos para pesca,,(593 4) 2400912 - 2404699 - 2401756,"Guayaquil, Ecuador"
Productos Magna Rx,TIENDA DE PRODUCTOS NATURALES SEXUALES . ENTREGAS A DOMICILIO,ELOY ALFARO Y CUENCA - C.C.MULTICOMERCIO . LOCAL 90,(593) 042410333,"Guayaquil, Ecuador"
Sweet Home C.a.,Importadores,,(593 4) 251 5284 - 251 0436,"Guayaquil, Ecuador"
Utimpor S.a.,Importadores directos.,Cdla. La Garzota Av. Hno Miguel Solar 3 y Av. Agustin Freire,(593 4) 224 5275,"Guayaquil, Ecuador"
